County,1 Adult (19–50),2 Adults (19–50),1 Adult + 1 Child (6–10),2 Adults + 2 Children (6–10),1 Adult (65+),2 Adults (65+)
Montgomery County,5938.1512,21936.1728,10454.5576,43983.0088,6846.8616,28224.3456
Nelson County,7385.748,25131.8016,12134.6152,47604.2056,8294.4584,31508.3328
New Kent County,7591.7928,26516.0832,12694.0512,48681.4792,8611.4504,33618.8392
Newport News City,7190.2696,24866.7264,11849.3224,46708.6408,8157.0952,31581.9648
Norfolk City,7264.2344,25264.3392,12252.2592,47798.8936,8231.06,31938.532
Northampton County,4807.5464,18180.9408,9709.6264,40580.4776,5610.5928,23865.3312
Northumberland County,5658.1416,21715.2768,10623.62,44644.948,6551.0024,27915.0912
Norton City,4617.3512,18313.4784,9197.156,38791.2616,5600.0264,25028.7168
Nottoway County,4680.7496,18372.384,9334.5192,38869.0536,5684.5576,25161.2544
Orange County,5652.8584,21214.5792,10665.8856,44372.3848,6635.5336,27885.6384
Page County,4627.9176,18961.44,9889.2552,39786.9992,5621.1592,25735.584
Patrick County,4490.5544,18284.0256,9498.2984,38231.1592,5288.3176,23953.6896
Petersburg City,7253.668,24822.5472,12055.3672,46163.5144,8289.1752,31876.2984
Pittsylvania County,4443.0056,18446.016,9302.82,39927.0248,5341.1496,24690.0096
Poquoson City,7517.828,25838.6688,12187.4472,47850.8104,8468.804,32436.4008
Portsmouth City,7200.836,24940.3584,12139.8984,47305.684,8157.0952,31537.7856
Powhatan County,7422.7304,25661.952,12347.9808,47409.5176,8421.2552,32560.868
Prince Edward County,5066.4232,19329.6,9677.9272,40440.452,6154.7624,26530.8096
Prince George County,8458.2376,28739.7696,13872.1632,50849.0056,9451.4792,35859.2488
Prince William County,11152.6696,36839.428,17745.2064,59041.6456,12209.3096,44820.8872
Pulaski County,5018.8744,18917.2608,9440.1832,38915.7288,6022.6824,25661.952
Radford City,5679.2744,20640.2496,10063.6008,41747.3576,6603.8344,26987.328
Rappahannock County,6508.7368,23055.3792,11342.1352,45748.18,7464.996,29623.3536
Richmond County,5515.4952,21288.2112,10470.4072,44177.6968,6545.7192,28268.5248
Richmond City,7723.8728,27164.0448,12973.8528,49784.7112,8769.9464,34490.1096
Roanoke County,5732.1064,22186.5216,10845.5144,44969.428,6698.932,28783.9488
Roanoke City,5150.9544,19741.9392,10021.3352,41280.6056,6107.2136,26295.1872
Rockbridge County,4733.5816,19329.6,9836.4232,39802.5576,5462.6632,24631.104
Rockingham County,5404.548,19447.4112,10095.3,42198.5512,6387.2232,26089.0176
Russell County,4569.8024,17356.2624,8864.3144,38340.068,5515.4952,23850.6048
Salem City,5747.956,21818.3616,10734.5672,44138.7592,6788.7464,28813.4016
Scott County,4490.5544,17474.0736,8922.4296,37873.316,5388.6984,23703.3408
Shenandoah County,4971.3256,19859.7504,10190.3976,42914.2376,5959.284,26560.2624
Smyth County,4332.0584,18593.28,9302.82,38682.3528,5209.0696,24748.9152
Southampton County,5642.292,20110.0992,10438.708,41420.6312,6529.8696,26251.008
Spotsylvania County,10117.1624,33572.164,16221.024,55716.2056,11179.0856,41273.572
Stafford County,10529.252,34941.3032,16854.2592,57182.8552,11548.9096,42487.1272
Staunton City,5821.9208,21023.136,10618.3368,43209.8472,6735.9144,27311.3088
Suffolk City,7248.3848,25205.4336,12222.8064,47695.06,8146.5288,31464.1536
Surry County,5108.6888,20581.344,10317.1944,44190.676,6138.9128,27517.4784
Sussex County,7501.9784,26059.5648,12509.9712,47993.5816,8458.2376,32778.6856
Tazewell County,4485.2712,16929.1968,8732.2344,37546.5896,5261.9016,22436.8704
Virginia Beach City,8204.644,28194.8928,13673.3568,51147.5272,9113.3544,34754.6024
Warren County,5806.0712,21155.6736,10634.1864,44813.6776,6825.7288,28032.9024
Washington County,4855.0952,18843.6288,9360.9352,40284.868,5742.6728,24984.5376
Waynesboro City,5742.6728,20625.5232,10486.2568,42587.5112,6757.0472,27488.0256
Westmoreland County,5378.132,20110.0992,10079.4504,43194.2888,6286.8424,26368.8192
Williamsburg City,7644.6248,27193.4976,12679.3248,50200.0456,8489.9368,33307.6712
Winchester City,7295.9336,25220.16,12108.1992,49278.5224,8178.228,31405.248
Wise County,4617.3512,18313.4784,9197.156,38791.2616,5700.4072,25573.5936
Wythe County,4654.3336,17665.5168,8969.9784,38822.3784,5531.3448,23776.9728
York County,8410.6888,28592.5056,13548.1824,50797.0888,9292.9832,34987.9784
Bristol City,4855.0952,18976.1664,9408.484,40409.3352,5806.0712,25485.2352
